firstMeasurement,secondMeasurement
5.14833434094222,5.84716604103076
5.15188282989806,4.9353454425652
5.30468260768018,6.10613332816259
5.21773669689693,5.95132603480756
5.64351710074413,4.48656641286015
5.05199453107879,4.53803412857561
5.99363044703723,5.49198696160711
5.53840397672096,6.33219723784103
4.41066409078727,3.67010522842508
5.36318728460205,4.81847787401648
4.66430288444686,4.66863435228028
4.35311414411176,4.40020545595203
4.50053894636679,5.33356053408217
3.82870657225841,3.64239943012231
5.79704559622974,4.92810583438633
4.84540510585482,4.66536208346724
5.0187909908092,5.04437541446309
3.86573628641857,3.65476891563171
4.69609612247606,4.81253705715155
4.50931406209836,5.0013075201129
5.59237190173371,5.72323675340933
5.01693081209373,4.82430650342695
5.04110694237213,4.78016527822917
5.04268457285742,3.9522573161464
3.95069296091983,4.78890935954286
4.12839290934553,3.79443423759499
4.39614666786895,4.77741816326091
5.98447173530232,6.59095179174335
5.29037697420573,4.80273885209287
4.6317636542357,4.6194382436333
4.29840954688297,5.41451673067747
5.10645998064317,4.54236196606067
4.20714380659541,4.34454640643637
5.0368010894924,5.56178868918032
6.65243343014028,6.65352664606878
4.23029843885003,4.43720940055659
4.73362520185596,4.7724172557153
4.4273002623084,5.35916681790425
3.95585632594063,3.51388702665714
5.09326927715472,5.34693506607642
4.22090065698512,4.24801714852255
4.64114322113208,4.82860543075434
5.81628369242087,5.55461263293199
5.66018209080867,5.79576418641863
4.44982294750353,4.22727054083019
5.45877367623546,4.90998591793227
6.74789378473754,6.06574106350231
5.2427589251512,4.84273458240133
6.13035210081396,5.98904157077115
4.50400347013804,4.13161916493764
3.2560262352926,3.53719891553426
5.98641175582225,4.70129232675692
4.14010416298601,4.70576423633321
6.20173440643112,5.5254153296742
3.80400685540563,3.88737247548152
4.62682955384482,4.23556962238319
4.30993156981024,4.36901942770426
5.23746929325919,6.08914641482967
5.95931873008848,5.44120132942349
5.39213454878181,5.58468241085181
5.64806045104131,5.32586737475002
5.54143016358246,5.27043103333145
3.85100996707072,3.3131670032445
5.62127330682559,5.01163117563054
4.91865852381955,4.66232557071088
5.09752967966518,5.12106769731774
4.35156877501674,4.99192091373774
6.50892928731662,6.22912994309044
5.17543460086747,5.08869911380334
6.15323693114446,6.63124272814444
4.89548930138595,4.56145359050785
4.82202698627889,4.10638949104164
4.1520720858038,4.69642452113243
5.30461373670095,4.37911426312828
5.84773128781417,5.22892657084394
6.10274457915856,6.19922773491028
4.72834742159596,5.63011588334725
4.96541954488773,5.42597873195138
5.59193963762675,5.32730144028781
6.83499696718534,6.3724544015064
4.87400452666887,4.90976869483287
5.33250107456369,5.54581258335288
5.64799261916126,5.39462728999721
5.08971674089892,5.13306432360893
4.96931758203819,4.36525215231835
5.3908059664214,5.49290146782051
4.56359131503916,4.20947480836443
4.30690875514768,5.17103930517138
4.59222494975928,5.20567075958377
4.18133205374965,4.94148560568089
4.25886419134462,4.96050249395676
4.15102018844003,4.94589058980497
4.05076991829029,4.54653949215329
5.11893555803352,5.47500138682147
5.77947443425645,5.63594395969696
5.50932598918069,5.29180597495935
4.74367229008505,4.84029943316034
3.81688059225074,4.03848995383603
4.81276465401648,5.06171082960557
5.19168057995978,5.66298719292615
