midparentColorScore,offspringColorScore
-0.62,-0.33
-0.27,-0.17
-0.25,-0.23
-0.12,-0.49
0.12,-0.59
0.18,-0.55
0.06,-0.39
0.18,-0.28
0.16,-0.23
0.22,-0.13
-0.54,-0.07
-0.3,-0.06
-0.32,0.09
-0.32,0.3
-0.35,0.34
-0.18,0.46
-0.17,0.41
-0.1,0.52
0.15,0.53
-0.09,0.23
-0.25,0.1
-0.21,0.07
-0.18,0.08
-0.13,0.03
-0.08,0
-0.12,-0.18
-0.09,-0.21
-0.05,-0.17
-0.03,-0.23
-0.02,-0.11
0,-0.12
0.02,-0.1
-0.03,-0.03
0.01,-0.06
0.03,-0.06
0.01,-0.03
0.04,-0.01
-0.05,0.03
-0.06,0.07
-0.06,0.13
-0.04,0.21
-0.01,0.25
0.07,0.29
0.15,0.29
0.31,0.35
0.3,0.28
0.3,0.22
0.16,0.22
0.14,0.2
0.12,0.19
0.05,0.17
0.02,0.17
-0.02,0.16
0.01,0.09
0.01,0.1
0.05,0.1
0.07,0.07
0.07,0.07
0.07,0.08
0.09,0.1
0.18,0.18
0.28,0.18
0.28,0.17
0.3,0.15
0.18,0.11
0.23,0.15
0.21,0.1
0.22,0.08
0.16,0.06
0.28,0.11
0.27,0.06
0.3,0.07
0.4,0.04
0.42,-0.05
0.39,0.02
0.38,0.02
0.35,-0.06
0.24,-0.05
0.24,-0.02
0.2,-0.02
0.16,0
0.08,-0.03
0.08,-0.04
0.13,-0.06
